,BsmtHalfBath,MasVnrArea,ScreenPorch,GrLivArea,YearBuilt,FullBath,KitchenAbvGr,GarageCars,YrSold,LotArea,WoodDeckSF,GarageArea,TotRmsAbvGrd,Fireplaces,LowQualFinSF,LotFrontage,HalfBath,MiscVal,MSSubClass,OpenPorchSF,TotalBsmtSF,BsmtUnfSF,BsmtFinSF2,GarageYrBlt,2ndFlrSF,YearRemodAdd,BedroomAbvGr,EnclosedPorch,BsmtFinSF1,3SsnPorch,PoolArea,MoSold,BsmtFullBath,1stFlrSF,Condition1_0,Condition1_1,Condition1_2,Condition1_3,Condition1_4,Exterior1st_0,Exterior1st_1,Exterior1st_2,Exterior1st_3,Exterior1st_4,RoofStyle_0,RoofStyle_1,RoofStyle_2,RoofStyle_3,Heating_0,Heating_1,Heating_2,Heating_3,Street_0,Street_1,Functional_0,Functional_1,Functional_2,Functional_3,PavedDrive_0,PavedDrive_1,PavedDrive_2,Neighborhood_0,Neighborhood_1,Neighborhood_2,Neighborhood_3,Neighborhood_4,Neighborhood_5,KitchenQual_0,KitchenQual_1,KitchenQual_2,LandSlope_0,LandSlope_1,LandSlope_2,Condition2_0,Condition2_1,Condition2_2,Condition2_3,SaleCondition_0,SaleCondition_1,SaleCondition_2,SaleCondition_3,Utilities_0,Utilities_1,ExterQual_0,ExterQual_1,ExterQual_2,RoofMatl_0,RoofMatl_1,RoofMatl_2,RoofMatl_3,LotConfig_0,LotConfig_1,LotConfig_2,LotConfig_3,Exterior2nd_0,Exterior2nd_1,Exterior2nd_2,Exterior2nd_3,Exterior2nd_4,LandContour_0,LandContour_1,LandContour_2,HeatingQC_0,HeatingQC_1,HeatingQC_2,HeatingQC_3,Electrical_0,Electrical_1,Electrical_2,Electrical_3,MSZoning_0,MSZoning_1,MSZoning_2,MSZoning_3,SaleType_0,SaleType_1,SaleType_2,SaleType_3,SaleType_4,LotShape_0,LotShape_1,LotShape_2,HouseStyle_0,HouseStyle_1,HouseStyle_2,HouseStyle_3,MasVnrType_0,MasVnrType_1,MasVnrType_2,Foundation_0,Foundation_1,Foundation_2,Foundation_3,ExterCond_0,ExterCond_1,ExterCond_2,ExterCond_3,CentralAir_0,CentralAir_1,BldgType_0,BldgType_1,BldgType_2,BldgType_3,OverallQual,OverallCond,BsmtFinType1_0,BsmtFinType1_1,BsmtFinType1_2,BsmtFinType1_3,GarageFinish_0,GarageFinish_1,GarageFinish_2,BsmtQual_0,BsmtQual_1,BsmtQual_2,GarageQual_0,GarageQual_1,GarageQual_2,GarageQual_3,BsmtExposure_0,BsmtExposure_1,BsmtExposure_2,BsmtCond_0,BsmtCond_1,BsmtCond_2,GarageCond_0,GarageCond_1,GarageCond_2,GarageCond_3,BsmtFinType2_0,BsmtFinType2_1,BsmtFinType2_2,BsmtFinType2_3,GarageType_0,GarageType_1,GarageType_2,GarageType_3,SalePrice
0,0.0,196.0,0,1710,2003,2,1,2.0,2008,8450,0,548.0,8,0,0,65.0,1,0,60,61,856.0,150.0,0.0,2003.0,854,2003,3,0,706.0,0,0,2,1.0,856,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,7,5,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,208500.0
1,1.0,0.0,0,1262,1976,2,1,2.0,2007,9600,298,460.0,6,1,0,80.0,0,0,20,0,1262.0,284.0,0.0,1976.0,0,1976,3,0,978.0,0,0,5,0.0,1262,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,6,8,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,181500.0
2,0.0,162.0,0,1786,2001,2,1,2.0,2008,11250,0,608.0,6,1,0,68.0,1,0,60,42,920.0,434.0,0.0,2001.0,866,2002,3,0,486.0,0,0,9,1.0,920,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,7,5,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,223500.0
3,0.0,0.0,0,1717,1915,1,1,3.0,2006,9550,0,642.0,7,1,0,60.0,0,0,70,35,756.0,540.0,0.0,1998.0,756,1970,3,272,216.0,0,0,2,1.0,961,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0,1,0,0,0,1,7,5,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,140000.0
4,0.0,350.0,0,2198,2000,2,1,3.0,2008,14260,192,836.0,9,1,0,84.0,1,0,60,84,1145.0,490.0,0.0,2000.0,1053,2000,4,0,655.0,0,0,12,1.0,1145,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,8,5,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,250000.0
5,0.0,0.0,0,1362,1993,1,1,2.0,2009,14115,40,480.0,5,0,0,85.0,1,700,50,30,796.0,64.0,0.0,1993.0,566,1995,1,0,732.0,320,0,10,1.0,796,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,5,5,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,143000.0
6,0.0,186.0,0,1694,2004,2,1,2.0,2007,10084,255,636.0,7,1,0,75.0,0,0,20,57,1686.0,317.0,0.0,2004.0,0,2005,3,0,1369.0,0,0,8,1.0,1694,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,8,5,0,0,0,1,0,0,1,0,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,307000.0
7,0.0,240.0,0,2090,1973,2,1,2.0,2009,10382,235,484.0,7,2,0,75.21041058828803,1,350,60,204,1107.0,216.0,32.0,1973.0,983,1973,3,228,859.0,0,0,11,1.0,1107,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,7,6,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,200000.0
8,0.0,0.0,0,1774,1931,2,2,2.0,2008,6120,90,468.0,8,2,0,51.0,0,0,50,0,952.0,952.0,0.0,1931.0,752,1950,2,205,0.0,0,0,4,0.0,1022,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,1,0,1,0,0,0,1,1,0,0,0,1,0,1,0,0,0,1,7,5,0,0,1,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,129900.0
9,0.0,0.0,0,1077,1939,1,2,1.0,2008,7420,0,205.0,5,2,0,50.0,0,0,190,4,991.0,140.0,0.0,1939.0,0,1950,2,0,851.0,0,0,1,1.0,1077,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,1,0,0,1,0,5,6,0,0,0,1,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,118000.0
10,0.0,0.0,0,1040,1965,1,1,1.0,2008,11200,0,384.0,5,0,0,70.0,0,0,20,0,1040.0,134.0,0.0,1965.0,0,1965,3,0,906.0,0,0,2,1.0,1040,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,5,5,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,129500.0
11,0.0,286.0,0,2324,2005,3,1,3.0,2006,11924,147,736.0,11,2,0,85.0,0,0,60,21,1175.0,177.0,0.0,2005.0,1142,2006,4,0,998.0,0,0,7,1.0,1182,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,1,1,0,1,1,0,0,1,0,0,0,1,0,0,1,1,0,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,9,5,0,0,0,1,0,1,1,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,345000.0
12,0.0,0.0,176,912,1962,1,1,1.0,2008,12968,140,352.0,4,0,0,68.89292383784121,0,0,20,0,912.0,175.0,0.0,1962.0,0,1962,2,0,737.0,0,0,9,1.0,912,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,5,6,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,144000.0
